Indication_ID,Indication_Name,Slug
1457,Posttraumatic or pre- and postoperative otitis externa,posttraumatic-or-pre-and-postoperative-otitis-externa-3848
1458,Post-traumatic stress disorder,post-traumatic-stress-disorder-3146
1459,Postural hypotension,postural-hypotension-4148
1460,Prader Willi syndrome,prader-willi-syndrome-3156
1461,Pre & post operative cough,pre-post-operative-cough-3690
1462,Pre-eclampsia,pre-eclampsia-3159
1463,Pregnancy,pregnancy-3162
1464,Pregnancy and lactation,pregnancy-and-lactation-3163
1465,Pregnancy-associated nausea and vomiting,pregnancy-associated-nausea-and-vomiting-3165
1466,Premalignant cervical lesions and cervical cancer,premalignant-cervical-lesions-and-cervical-cancer-3166
1467,Premature ejaculation,premature-ejaculation-3167
1468,Premature labour,premature-labour-3168
1469,Premedication in surgery,premedication-in-surgery-3904
1470,Premenstrual dysmorphic disorder,premenstrual-dysmorphic-disorder-3169
1471,Premenstrual syndrome,premenstrual-syndrome-3170
1472,Pre-operative and post-operative skin cleansing,pre-operative-and-post-operative-skin-cleansing-3157
1473,Pre-operative antimuscarinic agent,pre-operative-antimuscarinic-agent-3868
1474,Preoperative hand disinfection,preoperative-hand-disinfection-3717
1475,Pre-operative or post-operative sedation,pre-operative-or-post-operative-sedation-3158
1476,Pre-operative scrubbing & washing,pre-operative-scrubbing-washing-3160
1477,Preoperative sedation,preoperative-sedation-3171
1478,Pre-operative skin disinfection,pre-operative-skin-disinfection-3161
1479,Pre-Operative Supplements,pre-operative-supplements-3901
1480,Preparation for thyroidectomy,preparation-for-thyroidectomy-3172
1481,Pressure sores,pressure-sores-3174
1482,Prevent aging,prevent-aging-4032
1483,Prevent cardiovascular and immunological disorders,prevent-cardiovascular-and-immunological-disorders-4031
1484,Prevent certain types of cancer by blocking the formation of cancer causing substances in the body,prevent-certain-types-of-cancer-by-blocking-the-formation-of-cancer-causing-substances-in-the-body-4030
1485,Prevent gout,prevent-gout-3175
1486,Prevent kidney stone,prevent-kidney-stone-3177
1487,Prevent nitrogen loss,prevent-nitrogen-loss-3178
1488,Prevent the development of infections and permit wound healing,prevent-the-development-of-infections-and-permit-wound-healing-3989
1489,Prevent vitamin deficiency and restore lost vitality after illness,prevent-vitamin-deficiency-and-restore-lost-vitality-after-illness-4068
1490,Prevention & control of bleeding in Factor VIII deficiency,prevention-control-of-bleeding-in-factor-viii-deficiency-4087
1491,Prevention and treatment of vitamin deficiency in children and infants.,prevention-and-treatment-of-vitamin-deficiency-in-children-and-infants-4085
1492,Prevention of gallstones,prevention-of-gallstones-3728
1493,Prevention of gout and kidney stones,prevention-of-gout-and-kidney-stones-3180
1494,Prevention of infections after bone marrow transplantation,prevention-of-infections-after-bone-marrow-transplantation-3858
1495,Prevention of itching associated with allergic conjunctivitis,prevention-of-itching-associated-with-allergic-conjunctivitis-3628
1496,Prevention of measles,prevention-of-measles-3181
1497,Prevention of recurrent UTI and vaginal Infections,prevention-of-recurrent-uti-and-vaginal-infections-3830
1498,Prevention of rejection in organ and tissue transplantation,prevention-of-rejection-in-organ-and-tissue-transplantation-3182
1499,Prevention of typhoid,prevention-of-typhoid-3184
1500,Primary amoebic meningoencephalitis,primary-amoebic-meningoencephalitis-3185
1501,Primary antibodies deficiency,primary-antibodies-deficiency-3863
1502,Primary biliary cholangitis (PBC),primary-biliary-cholangitis-pbc-4171
1503,Primary biliary cirrhosis,primary-biliary-cirrhosis-3186
1504,Primary dysbetalipoproteinemia,primary-dysbetalipoproteinemia-3660
1505,Primary dysmenorrhoea,primary-dysmenorrhoea-3954
1506,Primary hypercholesterolemia,primary-hypercholesterolemia-3659
1507,Primary irritant and allergic dermatitis (napkin rash),primary-irritant-and-allergic-dermatitis-napkin-rash-3739
1508,Primary or secondary topical infections,primary-or-secondary-topical-infections-3979
1509,Primary ovarian failure,primary-ovarian-failure-3187
1510,Primary rubella in pregnant women,primary-rubella-in-pregnant-women-3866
1511,Proctitis,proctitis-3188
